materia_id,materia_nombre,creditos,categoria,level
CBC28,"Análisis Matemático",9,"*CBC","-2"
CBC27,"Álgebra",9,"*CBC","-2"
CBC24,"Introducción al Conocimiento de la Sociedad y el Estado",4,"*CBC","-2"
CBC3,"Física",6,"*CBC","-1"
CBC5,"Química",6,"*CBC","-1"
CBC40,"Introducción al Pensamiento Científico",4,"*CBC","-1"
CBC,"Ciclo Básico Común",0,"CBC","0"
62.01,"Física I A",8,"Materias Obligatorias","1"
61.03,"Análisis Matemático II A",8,"Materias Obligatorias","1"
75.40,"Algoritmos y Programación I",6,"Materias Obligatorias","1"
62.03,"Física II A",8,"Materias Obligatorias","2"
61.08,"Álgebra II A",8,"Materias Obligatorias","2"
75.41,"Algoritmos y Programación II",6,"Materias Obligatorias","2"
66.70,"Estructura del Computador",6,"Materias Obligatorias","3"
75.12,"Análisis Numérico I",6,"Materias Obligatorias","3"
75.07,"Algoritmos y Programación III",6,"Materias Obligatorias","3"
61.09,"Probabilidad y Estadística B",6,"Materias Obligatorias","3"
75.42,"Taller de Programación I",4,"Materias Obligatorias","4"
75.06,"Organización de Datos",6,"Materias Obligatorias","4"
75.08,"Sistemas Operativos",6,"Materias Obligatorias","4"
71.14,"Modelos y Optimización I",6,"Materias Obligatorias","5"
75.09,"Análisis de la Información",6,"Materias Obligatorias","5"
75.52,"Taller de Programación II",4,"Materias Obligatorias","5"
71.40,"Legislación y Ejercicio Profesional de la Ingeniería en Informática",4,"Materias Obligatorias","6"
75.15,"Base de Datos",6,"Materias Obligatorias","6"
75.43,"Introducción a los Sistemas Distribuidos",6,"Materias Obligatorias","6"
75.10,"Técnicas de Diseño",6,"Materias Obligatorias","6"
75.74,"Sistemas Distribuidos I",6,"Sistemas Distribuidos",""
75.44,"Administración y Control de Proyectos Informáticos I",6,"Gestión Industrial de Sistemas",""
75.45,"Taller de Desarrollo de Proyectos I",6,"Gestión Industrial de Sistemas",""
75.46,"Administración y Control de Proyectos Informáticos II",6,"Gestión Industrial de Sistemas",""
75.47,"Taller de Desarrollo de Proyectos II",6,"Gestión Industrial de Sistemas",""
75.59,"Técnicas de Programación Concurrente I",6,"Sistemas Distribuidos",""
75.61,"Taller de Programación III",6,"Sistemas Distribuidos",""
75.65,"Manufactura Integrada por Computadora I",6,"Sistemas de Producción",""
75.67,"Sistemas Automáticos de Diagnóstico y Detección Fallas I",6,"Sistemas de Producción",""
75.66,"Manufactura Integrada por Computadora II",6,"Sistemas de Producción",""
75.68,"Sistemas de Soporte para Celdas Producción Flexible",4,"Sistemas de Producción",""
71.12,"Estructura de las Organizaciones",6,"Materias Electivas",""
61.07,"Matemática Discreta",6,"Materias Electivas",""
71.13,"Información en las Organizaciones",6,"Materias Electivas",""
75.58,"Evaluación de Proyectos y Manejo de Riesgos",4,"Materias Electivas",""
75.64,"Sistemas Multimediales",4,"Materias Electivas",""
66.46,"Procesamiento del Habla",6,"Materias Electivas",""
75.48,"Calidad en Desarrollo de Sistemas",4,"Materias Electivas",""
66.06,"Análisis de Circuitos",10,"Materias Electivas",""
66.74,"Señales y Sistemas",6,"Materias Electivas",""
64.05,"Estática y Resistencia de Materiales B",6,"Materias Electivas",""
72.01,"Materiales Industriales I",6,"Materias Electivas",""
63.01,"Química",6,"Materias Electivas",""
61.10,"Análisis Matemático III A",6,"Materias Electivas",""
66.20,"Organización de Computadoras",6,"Materias Electivas",""
75.56,"Organización de la Implantación y el Mantenimiento",6,"Materias Electivas",""
75.57,"Modelos de Proceso de Desarrollo",4,"Materias Electivas",""
75.63,"Sistemas Distribuidos II",4,"Materias Electivas",""
71.46,"Ingeniería Económica",6,"Materias Electivas",""
75.69,"Sistemas Automáticos de Diagnóstico y Detección Fallas II",6,"Materias Electivas",""
66.02,"Laboratorio",6,"Materias Electivas",""
62.15,"Física III D",4,"Materias Electivas",""
61.18,"Ecuaciones Diferenciales Ordinarias",6,"Materias Electivas",""
61.19,"Análisis Funcional",6,"Materias Electivas",""
62.11,"Mecánica Racional",4,"Materias Electivas",""
66.08,"Circuitos Electrónicos I",8,"Materias Electivas",""
66.09,"Laboratorio de Microcomputadoras",6,"Materias Electivas",""
66.17,"Sistemas Digitales",6,"Materias Electivas",""
66.18,"Teoría de Control I",6,"Materias Electivas",""
66.19,"Circuitos de Pulsos",6,"Materias Electivas",""
66.24,"Teoría de la Información y Codificación",4,"Materias Electivas",""
66.26,"Arquitecturas Paralelas",6,"Materias Electivas",""
66.32,"Robótica",6,"Materias Electivas",""
66.35,"Técnica Digital Avanzada",6,"Materias Electivas",""
66.47,"Procesamiento de Imágenes",6,"Materias Electivas",""
66.49,"Sistemas Biológicos",6,"Materias Electivas",""
66.55,"Simulación de Sistemas de Control",4,"Materias Electivas",""
66.69,"Criptografía y Seguridad Informática",6,"Materias Electivas",""
66.71,"Sistemas Gráficos",6,"Materias Electivas",""
66.75,"Procesos Estocásticos",6,"Materias Electivas",""
67.61,"Fundamentos Matemáticos de la Visión en Robótica",6,"Materias Electivas",""
71.15,"Modelos y Optimización II",6,"Materias Electivas",""
71.18,"Estructura Económica Argentina",4,"Materias Electivas",""
71.20,"Modelos y Optimización III",6,"Materias Electivas",""
71.41,"Análisis y Resolución de Problemas",6,"Materias Electivas",""
71.42,"Circuitos de Información en la Empresa",4,"Materias Electivas",""
71.44,"Recursos Humanos",4,"Materias Electivas",""
75.14,"Lenguajes Formales",6,"Materias Electivas",""
75.16,"Lenguajes de Programación",6,"Materias Electivas",""
75.26,"Simulación",6,"Materias Electivas",""
75.29,"Teoría de Algoritmos I",6,"Materias Electivas",""
75.30,"Teoría de Algoritmos II",6,"Materias Electivas",""
75.31,"Teoría de Lenguaje",4,"Materias Electivas",""
75.38,"Análisis Numérico II A",6,"Materias Electivas",""
75.50,"Introducción a los Sistemas Inteligentes",6,"Materias Electivas",""
75.51,"Técnicas de Producción de Software I",4,"Materias Electivas",""
75.53,"Técnicas de Producción de Software II",4,"Materias Electivas",""
75.54,"Técnicas de Producción de Software III",4,"Materias Electivas",""
75.62,"Técnicas de Programación Concurrente II",4,"Materias Electivas",""
75.70,"Sistemas de Programación no convencional de Robots",6,"Materias Electivas",""
75.71,"Seminario de Ingeniería en Informática I",3,"Materias Electivas",""
75.72,"Seminario de Ingeniería en Informática II",3,"Materias Electivas",""
75.73,"Arquitectura de Software",4,"Materias Electivas",""
78.xx,"Idioma",4,"Materias Electivas",""
66.63,"Redes Neuronales",6,"Materias Electivas",""
75.00,"Tesis de Ingeniería Informática",24,"Fin de Carrera",""
75.99,"Trabajo Profesional de Ingeniería Informática",12,"Fin de Carrera",""
